L1: slang,formal,In-dictionary,context,category1,category2,category3
L2: woww,wow,1,wow,elongasi,0,0
L3: aminn,amin,1,"Selamat ulang tahun kakak tulus semoga panjang umur kakak,sehat selalu juga,murah rezeki ya kakak dan jangan sombong kalo sukses di karirnya aminn @tulusm",elongasi,0,0
L4: met,selamat,1,Met hari netaas kak!? Wish you all the best @tulusm,abreviasi,0,0
L5: netaas,menetas,1,Met hari netaas kak!? Wish you all the best @tulusm,afiksasi,elongasi,0
L6: keberpa,keberapa,0,Birthday yg keberpa kak?,abreviasi,0,0
L7: eeeehhhh,eh,1,Eh ada @ghessawarsana . Eeeehhhh,elongasi,0,0
L8: kata2nyaaa,kata-katanya,0,Kata2nyaaa ?,reduplikasi,elongasi,0
L9: hallo,halo,1,Hallo kakak tulus,elongasi,0,0
L10: kaka,kakak,1,Ngefans banget sama kaka? sukses selalu ka? @tulusm,zeroisasi,0,0
L11: ka,kak,1,Ngefans banget sama kaka? sukses selalu ka? @tulusm,zeroisasi,0,0
L12: daah,dah,1,Senyumnya bikin aku meleleh daah?? @tulusm,elongasi,0,0
L13: aaaaahhhh,ah,1,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??",elongasi,0,0
L14: yaa,ya,1,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??",elongasi,0,0
L15: smga,semoga,1,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",abreviasi,0,0
L16: slalu,selalu,1,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",zeroisasi,0,0
L17: amiin,amin,1,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",elongasi,0,0
L18: kk,kakak,1,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,abreviasi,0,0
L19: trus,terus,1,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,zeroisasi,0,0
L20: kk,kakak,1,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,abreviasi,0,0
L21: sii,sih,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,elongasi,0
L22: nyenengin,menyenangkan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,afiksasi,0,0
L23: bgt,banget,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
